UID,census year,total 0-4 years,change between censuses 0-4 years,total 5-9 years,total 10-14 years,total 5-14 years,change between censuses 5-14 years,total 15-19 years,total 20-24 years,total 15-24 years,change between censuses 15-24 years,total 25-29 years,total 30-34 years,total 25-34 years,change between censuses 25-34 years,total 35-39 years,total 40-44 years,total 35-44 years,change between censuses 35-44 years,Total 45-49 years,total 50-54 years,total 45-54 years,change between censuses 45-54 years,total 55-59 years,total 60-64 years,total 55-64 years,change between censuses 55-64 years,total 65 and over,change between censuses 65 and over,total males,total females,total persons,total change between censuses,comments,source,Column 37
1,1891,480,,379,346,725,,323,309,632,,331,252,583,,177,138,315,,129,105,234,,101,71,172,,82,,1756,1469,3225,,"Colonial census conducted 5 April 1891. The General population, 'Chinese and Chinese Half-castes', and 'Aborigines and Aboriginal Half-castes' were counted separately. separately.Ages reported in single year increments 'periods' of ages. Aborigines excluded",https://hccda.ada.edu.au/Collated_Census_Tables/NSW-1891-census.html,
2,1901,355,-125,399,481,880,155,359,255,614,-18,222,209,431,-152,242,183,425,110,119,98,217,-17,84,75,159,-13,141,59,1629,1593,3222,,"Census conducted 31 March 1901. Census included count of total population, exclusive of Aborigines with 'full blood and half-castes' Aborigines counted separately.",https://hccda.ada.edu.au/Collated_Census_Tables/NSW-1901-census.html,
3,1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Census taken for the night between 2nd and 3rd April 1911. LGA data not available - arranged in Municipalities, electoral districts and counties. Full blooded Aboriginals excluded and counted separately.",https://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/2112.01911?OpenDocument,
4,1921,1835,1480,1869,1530,3399,2519,1149,1020,2169,1555,1103,1402,2505,2074,1187,1018,2205,1780,721,538,1259,1042,494,401,895,736,550,409,7191,7663,14854,,"Taken for the night between the 3rd and 4th April, 1921.Full blooded Aboriginals excluded and counted separately.",https://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/2111.01921?OpenDocument,
5,1933,2497,662,2980,2952,5932,2533,2626,2172,4798,2629,1952,1995,3947,1442,2038,2075,4113,1908,1855,1426,3281,2022,940,801,1741,846,1525,975,13533,14328,27861,,Full blood Aboriginals excluded and counted separately. Census taken 30 June 1933.,https://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/2110.01933?OpenDocument,
6,1947,3622,1125,3003,2577,5580,-352,2897,2975,5872,1074,2826,2938,5764,1817,2729,2341,5070,957,2177,2035,4212,931,1916,1531,3447,1706,2575,1050,17772,18646,36418,,Cenus taken 30 June 1947.Full blood Aboriginals excluded and counted separately.,https://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/2109.01947?OpenDocument,
7,1954,5640,2018,5884,4293,10177,4597,3362,3074,6436,564,3946,4735,8681,2917,4465,4050,8515,3445,3207,2702,5909,1697,2327,2183,4510,1063,4233,1658,26522,27579,54101,,Census taken 30 June 1954. Full blood Aboriginals excluded and counted separately.70 and over last category,https://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/2108.01954?OpenDocument,
8,1961,7609,1969,7616,7718,15334,5157,5844,4264,10108,4236,4311,5744,10055,1374,6492,5607,12099,3584,5151,3973,9124,3215,3023,2526,5549,1039,5690,1457,37264,38304,75568,,Census taken 30 June 1961. Full blood Aboriginals excluded and counted separately.,https://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/2107.01961?OpenDocument,
9,1966,7202,-407,7752,7894,15646,312,7806,5210,13016,2908,4349,4605,8954,-1101,5928,6580,12508,409,5561,5084,10645,1522,3776,2869,6645,1096,6675,985,40077,41214,81291,,Census taken 30 June 1966. Full blood Aboriginals excluded and counted separately.Last category 65 and over,https://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/2106.01966?OpenDocument,
10,1971,6724,-478,7404,8061,15465,-181,8115,8437,16552,6444,6118,5159,11277,2323,5058,6090,11148,-1360,6607,5512,12119,1473,4756,3487,8243,1598,7278,603,43524,45282,88806,,Census taken 30 June 1971. The 1971 census was the first time that Aborigianl and Torres Strait Islander peoples were included in the population count as a result of the 1967 referendum. 70 and over last category,https://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/2105.01971?OpenDocument,
